,GSM2054036,GSM2054037,GSM2054038,GSM2054039,GSM2054040,GSM2054041,GSM2054042,GSM2054043
A1BG,1,3,0,0,7,10,3,12
A1CF,0,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0,0
A3GALT2,2,8,2,0,8,14,8,10
A4GALT,18,63,9,2,14,53,12,30
A4GNT,0,0,0,0,0,0,0,0
AAAS,66,282,53,22,181,244,110,248
AACS,662,1804,670,169,1401,1495,832,1696
AADAC,0,0,0,0,0,0,2,0
AADACL2,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0
AAED1,218,518,160,69,542,765,309,736
AAGAB,198,721,120,65,526,726,242,745
AAK1,920,2993,716,289,1106,1507,566,1310
AAMDC,122,371,101,38,515,645,227,688
AAMP,734,3071,606,279,1394,1723,726,1855
AANAT,0,1,0,1,1,2,3,3
AAR2,221,816,175,75,282,351,149,416
AARD,0,3,0,0,1,0,0,2
AARS,1115,4704,782,418,1180,1409,575,1525
AARS2,335,998,258,89,460,593,218,572
AARSD1,141,561,88,40,364,478,247,527
AASDH,85,294,78,48,284,407,159,373
AASDHPPT,382,1214,279,136,647,753,315,820
AASS,0,3,0,0,0,4,1,1
AATF,74,329,62,35,218,292,117,273
AATK,254,884,236,86,509,400,239,622
ABAT,13,26,13,5,70,98,39,66
ABCA1,2250,5466,1462,654,2571,3217,1338,3227
ABCA12,2,5,1,3,1,5,8,8
ABCA13,0,0,0,0,0,1,0,1
ABCA2,539,1374,393,159,2575,3498,1341,3368
ABCA3,347,971,255,106,1069,1632,534,1410
ABCA4,5,33,8,5,14,19,9,17
ABCA5,154,448,114,44,312,416,180,450
ABCA6,51,127,35,17,149,166,59,144
ABCA7,464,1768,423,160,557,665,285,675
ABCA9,81,258,70,25,420,585,168,428
ABCB10,312,947,223,98,1134,1389,525,1362
ABCB11,13,43,10,9,0,1,0,0
ABCB4,18,110,10,8,97,107,66,176
ABCB5,0,0,0,0,0,1,0,0
ABCB6,284,1030,165,81,521,727,322,651
ABCB7,798,2374,602,270,669,969,331,931
ABCB8,967,3195,672,312,1395,1902,817,1750
ABCB9,409,1162,281,121,328,362,141,452
ABCC1,282,1027,219,82,1007,1572,479,1293
ABCC10,327,1303,345,128,600,743,331,681
ABCC12,0,5,0,0,1,4,1,1
ABCC2,12,27,6,4,6,6,4,10
ABCC3,17,31,9,4,20,51,10,25
ABCC4,315,1536,197,105,548,963,266,747
ABCC5,282,818,289,89,856,1071,435,1099
ABCC6,0,0,0,0,0,1,0,0
ABCC8,56,176,31,26,19,17,5,23
ABCC9,940,2341,746,362,1510,1998,737,1953
ABCD1,481,1634,337,115,841,1153,396,1140
ABCD2,93,331,143,31,810,1090,404,1229
ABCD3,8194,28076,6403,2361,4352,5210,2366,5667
ABCD4,292,1039,221,79,493,681,281,640
ABCE1,1094,3838,760,372,2225,2476,927,2806
ABCF1,807,3182,660,302,1444,1694,731,1885
ABCF2,497,1856,346,176,780,789,356,1095
ABCF3,551,2000,437,189,845,944,424,1129
ABCG1,273,749,251,87,241,389,99,291
ABCG2,222,663,147,63,417,487,196,540
ABCG4,0,0,1,0,7,10,6,11
ABCG5,0,0,0,0,0,0,0,0
ABCG8,0,0,0,0,0,0,0,0
ABHD10,200,666,128,55,176,269,121,270
ABHD11,418,1570,276,118,722,1032,370,1014
ABHD12,537,1759,439,174,973,1305,479,1236
ABHD12B,2,5,4,3,2,4,1,5
ABHD13,321,1149,258,102,625,884,316,784
ABHD14A,27,127,27,11,166,213,88,203
ABHD14B,89,351,73,30,538,689,300,656
ABHD15,791,2553,601,294,579,511,264,705
ABHD16A,290,1075,251,113,1025,1270,504,1251
ABHD16B,4,31,1,3,14,13,7,18
ABHD17A,450,1583,349,128,888,1119,433,1135
ABHD17B,443,1489,336,120,439,607,231,638
ABHD17C,719,2233,494,233,695,980,378,910
ABHD18,163,506,133,49,372,461,182,418
ABHD2,290,891,200,115,461,605,220,590
ABHD3,11,32,7,1,62,77,32,88
ABHD4,964,3292,685,291,2163,2821,935,2743
ABHD5,2256,6791,1858,695,1342,1430,748,1920
ABHD6,676,2618,553,230,675,896,287,880
ABHD8,89,231,68,22,71,111,46,137
ABI1,392,1327,317,121,874,1375,470,1175
ABI2,142,423,100,39,339,456,146,439
ABI3,476,2434,565,219,550,823,267,698
ABI3BP,23,78,35,15,212,285,140,235
ABL1,442,1413,360,143,918,1336,487,1148
ABL2,267,825,191,87,625,945,342,790
ABLIM1,2404,8873,2068,1006,3689,4600,1611,4831
ABLIM2,25,85,21,10,123,224,72,226
ABLIM3,458,1202,262,146,1923,2375,895,2436
ABO,0,0,0,0,0,0,0,0
ABR,256,700,200,87,375,489,152,530
ABRA,8,2,0,2,0,1,4,27
ABRACL,95,350,64,31,231,365,130,295
ABT1,95,392,75,45,148,194,61,186
ABTB1,79,278,60,32,379,517,201,505
ABTB2,145,617,121,64,137,171,63,204
ACAA2,9762,34471,7284,2811,30908,37201,16731,40297
ACACA,9939,19092,6735,2034,14457,16181,5615,18249
ACACB,15530,43547,11918,4506,15764,19869,9244,20027
ACAD10,333,968,244,99,1615,2077,876,1988
ACAD11,2889,7769,2073,889,5273,6662,3014,7175
ACAD8,494,1513,379,141,1216,1696,744,1626
ACAD9,819,2633,573,254,1301,1694,727,1694
ACADL,20716,66613,14097,6132,35668,48486,19647,48701
ACADM,13443,37604,8515,3580,24563,30772,13535,32031
ACADS,3149,10642,2294,1008,5465,7150,2934,7513
ACADSB,1855,4929,1337,582,5421,6992,3109,7494
ACADVL,23171,79606,16194,7313,32961,43752,17695,42671
ACAN,1,9,3,1,3,4,3,9
ACAP1,11,35,19,9,71,99,36,63
ACAP2,420,1118,285,138,1006,1387,537,1298
ACAP3,103,403,99,45,295,297,143,331
ACAT1,5257,16422,3696,1580,11649,14984,6693,16169
ACAT2,1334,4151,1150,403,3366,4576,1878,4460
ACBD3,588,1940,447,177,796,1234,415,1064
ACBD4,263,1051,246,83,952,1069,505,1267
ACBD5,1324,4142,972,350,1498,1970,794,2068
ACBD6,217,833,202,73,305,435,168,391
ACBD7,0,0,0,0,0,2,1,3
ACCS,60,242,46,16,211,267,109,247
ACCSL,10,56,7,6,21,14,1,19
ACD,128,451,88,29,287,311,119,318
ACE,185,527,109,61,446,486,190,492
ACE2,8,31,6,5,10,2,5,10
ACER1,3,6,2,0,5,4,1,0
ACER2,901,2462,555,268,1610,1931,648,2120
ACER3,234,730,177,81,453,614,240,546
ACHE,3,7,2,1,25,28,19,39
ACIN1,694,2451,578,258,1767,2391,1004,2329
